MIDL Ballistic 32Re Data for 2015-03-16 to 2015-03-20

#COORDINATES
GSM

yr mo dy hr mn sc msc bx by bz ux uy uz rho T

#START
2015  3 16  3 32  0    0    -1.19     3.43    -2.27    -343.6      3.54     -7.86    33.865      38010
2015  3 16  3 33  0    0    -1.14     3.97    -2.58    -343.3      3.63     -7.69    33.543      38260
2015  3 16  3 34  0    0    -1.12     4.07    -2.84    -343.4      3.84     -7.46    33.818      39089
2015  3 16  3 35  0    0    -1.00     3.44    -2.76    -343.3      3.12     -7.47    34.824      40390
2015  3 16  3 36  0    0    -0.35     2.32    -1.56    -344.2      3.10     -6.67    35.055      41268
2015  3 16  3 37  0    0     0.52     0.40     0.84    -346.2      5.51     -5.05    34.164      40744
2015  3 16  3 38  0    0     0.51    -0.47     0.75    -346.3      5.70     -5.32    33.527      40143
2015  3 16  3 39  0    0     0.47    -1.01     0.48    -345.7      5.18     -5.80    33.913      40215
2015  3 16  3 40  0    0     0.31    -1.00     0.63    -344.7      4.65     -6.05    34.750      40342
2015  3 16  3 41  0    0    -0.30    -0.52     1.67    -344.3      4.53     -6.26    34.863      40274
2015  3 16  3 42  0    0    -0.30     0.53     2.16    -344.4      4.46     -6.35    34.807      39397
2015  3 16  3 43  0    0    -0.54     0.54     2.15    -345.0      3.90     -6.25    34.838      37374
2015  3 16  3 44  0    0    -0.32     0.39     1.78    -345.2      3.95     -6.10    34.960      37363
2015  3 16  3 45  0    0     0.05     0.31     1.35    -345.0      4.24     -5.97    34.925      37365
2015  3 16  3 46  0    0     0.11     0.31     1.12    -344.5      4.36     -6.05    34.715      37370
2015  3 16  3 47  0    0     0.00     0.66     1.18    -344.6      4.09     -6.19    34.229      37366
2015  3 16  3 48  0    0    -0.04     0.69     1.97    -345.1      4.05     -5.91    33.723      37342
2015  3 16  3 49  0    0    -0.20     0.57     2.28    -345.4      4.17     -6.00    33.679      37420
2015  3 16  3 50  0    0    -0.21     0.59     2.19    -345.4      5.02     -5.70    33.555      37687
2015  3 16  3 51  0    0    -0.15     0.43     2.01    -345.5      5.47     -5.46    33.226      38184
2015  3 16  3 52  0    0     0.07     0.25     2.00    -345.5      5.88     -5.35    33.094      39117
2015  3 16  3 53  0    0     0.28     0.19     2.02    -345.4      6.36     -5.29    32.988      39725
2015  3 16  3 54  0    0     0.34     0.20     1.57    -345.9      7.04     -5.25    32.887      39725
2015  3 16  3 55  0    0     0.48     0.29     0.66    -346.8      8.03     -5.11    32.815      40683
2015  3 16  3 56  0    0     0.54     0.14     0.57    -347.8      8.48     -5.08    32.060      42006
2015  3 16  3 57  0    0     0.45    -0.47     2.17    -348.0      8.44     -4.89    30.970      42772
2015  3 16  3 58  0    0     0.29    -1.11     3.16    -347.5      8.81     -4.82    30.060      44481
2015  3 16  3 59  0    0     0.52    -1.35     3.48    -346.8      8.83     -4.17    29.200      45166
2015  3 16  4  0  0    0     1.62    -2.08     4.38    -348.3      9.32     -2.99    27.467      41338
2015  3 16  4  1  0    0     2.22    -3.52     5.20    -349.3      9.20     -3.64    26.885      39609
2015  3 16  4  2  0    0     2.30    -3.61     5.29    -349.3      9.06     -4.63    26.645      39657
2015  3 16  4  3  0    0     2.37    -3.98     5.55    -349.2      8.47     -4.86    25.293      41053
2015  3 16  4  4  0    0     2.37    -4.23     5.46    -349.1      8.22     -5.34    25.115      41053
2015  3 16  4  5  0    0     2.13    -4.55     4.86    -350.5      8.85     -6.37    26.520      39501
2015  3 16  4  6  0    0     2.13    -4.45     4.61    -350.4      8.75     -6.48    26.844      38419
2015  3 16  4  7  0    0     2.21    -4.00     4.55    -351.0      8.18     -7.03    27.684      37464
2015  3 16  4  8  0    0     2.25    -3.74     4.49    -351.4      8.14     -8.15    29.608      36741
2015  3 16  4  9  0    0     2.24    -3.65     4.44    -351.2      8.65     -8.64    30.665      36196
2015  3 16  4 10  0    0     2.14    -3.85     4.37    -350.9      9.61     -8.94    30.501      35755
2015  3 16  4 11  0    0     1.98    -4.33     4.21    -350.9     10.26     -9.21    29.951      35380
2015  3 16  4 12  0    0     1.87    -4.70     4.15    -351.2      9.75     -9.71    29.580      35287
2015  3 16  4 13  0    0     1.95    -4.51     4.24    -351.3      8.22    -10.07    28.850      35142
2015  3 16  4 14  0    0     2.18    -4.09     4.53    -351.5      7.90    -10.10    27.730      34999
2015  3 16  4 15  0    0     2.42    -4.10     4.70    -351.4      7.12     -9.86    27.157      34816
2015  3 16  4 16  0    0     2.47    -4.27     4.73    -351.2      6.44     -9.49    27.371      35184
2015  3 16  4 17  0    0     2.47    -4.35     4.73    -350.9      6.30     -9.17    27.843      35752
2015  3 16  4 18  0    0     2.53    -4.44     4.76    -350.3      5.76     -8.65    28.053      35671
2015  3 16  4 19  0    0     2.37    -4.49     4.66    -350.2      3.95     -8.63    27.935      35339
2015  3 16  4 20  0    0     2.01    -4.68     4.36    -349.8      3.36     -8.66    27.348      35150
2015  3 16  4 21  0    0     1.94    -4.80     4.47    -349.8      2.78     -9.02    27.080      34940
2015  3 16  4 22  0    0     1.97    -4.85     4.48    -349.0      3.54     -8.82    27.057      34940
2015  3 16  4 23  0    0     2.17    -4.81     4.30    -348.9      2.41     -8.85    27.462      36610
2015  3 16  4 24  0    0     2.34    -4.78     4.04    -349.0      2.17     -8.26    27.843      37556
2015  3 16  4 25  0    0     2.14    -4.84     3.96    -349.5      1.77     -8.50    27.803      37493
2015  3 16  4 26  0    0     2.21    -4.90     4.07    -349.9      1.33    -10.43    26.699      36196
2015  3 16  4 27  0    0     2.41    -5.30     4.67    -350.2      0.72    -12.39    25.926      33677
2015  3 16  4 28  0    0     2.54    -5.64     4.73    -350.1      0.54    -12.65    25.596      30450
2015  3 16  4 29  0    0     2.60    -5.52     4.85    -349.8      0.19    -13.38    25.554      30546
2015  3 16  4 30  0    0     2.56    -5.65     4.53    -349.5     -0.47    -13.70    25.405      31210
2015  3 16  4 31  0    0     2.48    -5.82     4.61    -348.9     -2.51    -14.21    25.392      31210
2015  3 16  4 32  0    0     2.15    -6.16     4.60    -349.3     -2.20    -14.26    25.364      31342
2015  3 16  4 33  0    0     1.98    -6.41     4.24    -348.3     -2.77    -14.23    24.811      33563
2015  3 16  4 34  0    0     1.48    -6.13     3.45    -347.5     -3.34    -14.16    24.548      33970
2015  3 16  4 35  0    0     1.24    -6.12     3.01    -347.1     -4.40    -14.08    24.370      33217
2015  3 16  4 36  0    0     1.29    -6.74     2.75    -347.2     -3.86    -12.63    23.912      32761
2015  3 16  4 37  0    0     1.44    -7.21     2.24    -347.1     -4.28    -11.39    23.623      32927
2015  3 16  4 38  0    0     1.68    -7.33     1.98    -347.7     -5.01    -10.98    23.964      35927
