Produced from MIDL 1D BATSRUS MHD at x=32.00 Re (nT, km/s, cm^-3, K)

#COORDINATES
GSM

year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5  9  1 38  0   0     -2.08      2.20      0.26   -457.18     -0.66     -7.07    2.9308   182646.6
2024  5  9  1 39  0   0     -2.00      2.39      0.35   -459.38     -1.37     -3.09    3.0957   187701.5
2024  5  9  1 40  0   0     -1.97      2.33      0.06   -460.37      0.04      0.30    3.1910   191022.9
2024  5  9  1 41  0   0     -2.01      2.40     -0.36   -462.00     -0.39     -1.54    3.2824   198102.3
2024  5  9  1 42  0   0     -2.07      2.56     -0.46   -462.26     -1.75     -0.50    3.3925   198704.0
2024  5  9  1 43  0   0     -2.09      2.83     -0.29   -464.35     -2.53      3.72    3.7180   190045.1
2024  5  9  1 44  0   0     -1.89      2.80     -0.39   -464.62     -2.26      3.87    3.9325   181498.0
2024  5  9  1 45  0   0     -1.79      2.79     -0.94   -467.01     -0.53     -0.67    4.0614   178996.8
2024  5  9  1 46  0   0     -1.53      2.86     -1.19   -468.64      1.46     -2.80    3.7402   191936.6
2024  5  9  1 47  0   0     -1.01      2.71     -1.23   -467.88      1.04     -3.36    3.6523   203848.4
2024  5  9  1 48  0   0     -0.64      2.37     -1.06   -466.65      0.73     -2.49    3.5807   217190.6
2024  5  9  1 49  0   0     -0.52      2.00     -1.12   -466.89      2.44      1.56    3.3288   226305.7
2024  5  9  1 50  0   0     -0.57      1.81     -1.37   -469.04      4.57      2.43    3.0190   215338.4
2024  5  9  1 51  0   0     -0.60      1.84     -1.57   -468.91      4.96     -1.51    2.8108   206694.2
2024  5  9  1 52  0   0     -0.55      1.92     -1.57   -467.37      2.42     -5.21    2.7376   205680.4
2024  5  9  1 53  0   0     -0.38      1.96     -1.42   -465.79     -0.64     -7.42    2.8256   212160.2
2024  5  9  1 54  0   0     -0.04      2.04     -1.10   -464.58     -1.27     -6.75    2.9994   220877.0
2024  5  9  1 55  0   0     -0.15      2.00     -1.03   -466.46     -0.75     -6.08    3.1348   226656.5
2024  5  9  1 56  0   0     -0.50      1.67     -1.48   -469.48      0.37     -0.78    3.0741   219862.8
2024  5  9  1 57  0   0     -0.55      1.43     -1.54   -468.66     -0.92     -0.87    3.1569   214638.6
2024  5  9  1 58  0   0     -0.39      1.40     -1.39   -468.00      0.07     -3.19    3.2364   217955.9
2024  5  9  1 59  0   0     -0.38      1.66     -0.94   -467.79     -0.18    -12.32    3.0914   219880.1
2024  5  9  2  0  0   0     -0.57      1.98     -0.08   -466.42     -1.55    -21.94    2.8319   213131.9
